"Service","Region","ResourceCount"
"Key Pairs","ap-south-1","13"
"Key Pairs","us-west-2","3"
"Key Pairs","eu-north-1","4"
"IAM Users","eu-central-1","5"
"IAM Users","ap-northeast-2","5"
"IAM Users","il-central-1","5"
"IAM Users","eu-west-2","5"
"IAM Users","eu-west-3","5"
"IAM Users","ap-south-1","5"
"IAM Users","me-south-1","5"
"IAM Users","sa-east-1","5"
"IAM Users","ap-southeast-1","5"
"IAM Users","eu-north-1","5"
"IAM Users","ap-southeast-4","5"
"IAM Users","ap-northeast-3","5"
"IAM Users","us-west-2","5"
"IAM Users","us-east-1","5"
"IAM Users","ap-southeast-3","5"
"IAM Users","eu-south-2","5"
"IAM Users","ca-central-1","5"
"IAM Users","af-south-1","5"
"IAM Users","eu-south-1","5"
"IAM Users","eu-west-1","5"
"IAM Users","me-central-1","5"
"IAM Users","ap-south-2","5"
"IAM Users","ca-west-1","5"
"IAM Users","eu-central-2","5"
"IAM Users","ap-east-1","5"
"IAM Users","us-east-2","5"
"IAM Users","ap-southeast-2","5"
"IAM Users","ap-northeast-1","5"
"IAM Users","us-west-1","5"
"IAM Roles","eu-central-1","7"
"IAM Roles","ap-northeast-2","7"
"IAM Roles","il-central-1","7"
"IAM Roles","eu-west-2","7"
"IAM Roles","eu-west-3","7"
"IAM Roles","ap-south-1","7"
"IAM Roles","me-south-1","7"
"IAM Roles","sa-east-1","7"
"IAM Roles","ap-southeast-1","7"
"IAM Roles","eu-north-1","7"
"IAM Roles","ap-southeast-4","7"
"IAM Roles","ap-northeast-3","7"
"IAM Roles","us-west-2","7"
"IAM Roles","us-east-1","7"
"IAM Roles","ap-southeast-3","7"
"IAM Roles","eu-south-2","7"
"IAM Roles","ca-central-1","7"
"IAM Roles","af-south-1","7"
"IAM Roles","eu-south-1","7"
"IAM Roles","eu-west-1","7"
"IAM Roles","me-central-1","7"
"IAM Roles","ap-south-2","7"
"IAM Roles","ca-west-1","7"
"IAM Roles","eu-central-2","7"
"IAM Roles","ap-east-1","7"
"IAM Roles","us-east-2","7"
"IAM Roles","ap-southeast-2","7"
"IAM Roles","ap-northeast-1","7"
"IAM Roles","us-west-1","7"
"VPCs","ap-south-1","1"
"VPCs","us-east-1","1"
"RDS Instances","ap-south-1","2"
"RDS Instances","us-west-2","1"
"S3 Buckets","eu-central-1","4"
"S3 Buckets","ap-northeast-2","4"
"S3 Buckets","il-central-1","4"
"S3 Buckets","eu-west-2","4"
"S3 Buckets","eu-west-3","4"
"S3 Buckets","ap-south-1","4"
"S3 Buckets","me-south-1","4"
"S3 Buckets","sa-east-1","4"
"S3 Buckets","ap-southeast-1","4"
"S3 Buckets","eu-north-1","4"
"S3 Buckets","ap-southeast-4","4"
"S3 Buckets","ap-northeast-3","4"
"S3 Buckets","us-west-2","4"
"S3 Buckets","us-east-1","4"
"S3 Buckets","ap-southeast-3","4"
"S3 Buckets","eu-south-2","4"
"S3 Buckets","ca-central-1","4"
"S3 Buckets","af-south-1","4"
"S3 Buckets","eu-south-1","4"
"S3 Buckets","eu-west-1","4"
"S3 Buckets","me-central-1","4"
"S3 Buckets","ap-south-2","4"
"S3 Buckets","ca-west-1","4"
"S3 Buckets","eu-central-2","4"
"S3 Buckets","ap-east-1","4"
"S3 Buckets","us-east-2","4"
"S3 Buckets","ap-southeast-2","4"
"S3 Buckets","ap-northeast-1","4"
"S3 Buckets","us-west-1","4"
"Internet Gateways","eu-central-1","1"
"Internet Gateways","ap-northeast-2","1"
"Internet Gateways","il-central-1","1"
"Internet Gateways","eu-west-2","1"
"Internet Gateways","eu-west-3","1"
"Internet Gateways","ap-south-1","2"
"Internet Gateways","me-south-1","1"
"Internet Gateways","sa-east-1","1"
"Internet Gateways","ap-southeast-1","1"
"Internet Gateways","eu-north-1","1"
"Internet Gateways","ap-southeast-4","1"
"Internet Gateways","ap-northeast-3","1"
"Internet Gateways","us-west-2","1"
"Internet Gateways","us-east-1","1"
"Internet Gateways","ap-southeast-3","1"
"Internet Gateways","eu-south-2","1"
"Internet Gateways","ca-central-1","1"
"Internet Gateways","af-south-1","1"
"Internet Gateways","eu-south-1","1"
"Internet Gateways","eu-west-1","1"
"Internet Gateways","me-central-1","1"
"Internet Gateways","ap-south-2","1"
"Internet Gateways","ca-west-1","1"
"Internet Gateways","eu-central-2","1"
"Internet Gateways","ap-east-1","1"
"Internet Gateways","us-east-2","1"
"Internet Gateways","ap-southeast-2","1"
"Internet Gateways","ap-northeast-1","1"
"Internet Gateways","us-west-1","1"
"Security Groups","ap-south-1","15"
"Security Groups","us-west-2","2"
"Security Groups","eu-north-1","2"
"EC2 Instances","ap-south-1","3"
"EC2 Instances","us-west-2","1"
"EC2 Instances","eu-north-1","1"
"Load Balancers (ALB/NLB)","us-west-2","1"
